name,alternativename,notes,primaryvalue,subcategory,category,type,highlight,metric_001,metric_002,metric_003,metric_004,exclude,,firstsource,secondsource,thirdsource,,,,,,,,,,,,,,,,,,
Entity,alternative name,story,YEAR,records lost,ORGANISATION,METHOD OF LEAK,interesting story,NO OF RECORDS STOLEN,DATA SENSITIVITY,UNUSED,UNUSED,Exclude,,1st source link,2nd source link,3rd source,source name,UNUSED,UNUSED,UNUSED,UNUSED,UNUSED,UNUSED,,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study
,,Elaboration if there's an interesting story or detail behind it,"years are encoded (0=2004, 8 = 2012, 9 = 2013)",context & leak size,,,,,1. Just email address/Online information 2. SSN/Personal details 3. Credit card information 4.Email password/Health records 5. Full bank account details,,,Show this item in the viz?,,,,,,,,,,,,,,,,,,,,,,
Adobe,,"Sep 17th 2013. Hackers obtained access to a large swathe of Adobe customer IDs and encrypted passwords & removed sensitive information (i.e. names, encrypted credit or debit card numbers, expiration dates, etc.). Approximately 38 million Adobe customers. Updated: Now rumoured to be 150m (unconfirmed)",10,38000000,tech,hacked,y,38000000,50000,,,,,http://www.theverge.com/2013/11/7/5078560/over-150-million-breached-records-from-adobe-hack-surface-online,http://www.zdnet.com/adobe-admits-2-9m-customer-accounts-have-been-compromised-7000021546/,http://krebsonsecurity.com/2013/10/adobe-breach-impacted-at-least-38-million-users/,,,,,,,,,,,,,,,,,,
Advocate Medical Group,,"4,000,000 patient names, addresses, dates of birth, and Social Security numbers were contained in four computers stolen from an administrative building. Second biggest security breach ever reported to the Department of Health and Human Services (HHS).",10,4000000,healthcare,lost / stolen media,y,4000000,20,,,,,http://healthitsecurity.com/2013/08/27/advocate-medical-group-endures-massive-data-breach/,http://datalossdb.org/latest_incidents_remote_sync,,,,,,,,,,,,,,,,,,,
Korea Credit Bureau,,,10,20000000,financial,inside job,,20000000,50000,,,,,http://www.securityweek.com/20-million-people-fall-victim-south-korea-data-leak,,,,,,,,,,,,,,,,,,,,
LexisNexis,,Hackers stole millions of social security numbers - including Michelle Obama's - from 3 large US data brokers,10,1000000,tech,hacked,,1000000,300,,,,,http://www.usatoday.com/story/cybertruth/2013/09/26/lexisnexis-dunn--bradstreet-altegrity-hacked/2878769/,http://www.reuters.com/article/2013/09/26/us-cyberattacks-databrokers-idUSBRE98P03220130926,http://www.bbc.co.uk/news/technology-24284277,USA Today; Reuters; BBC News,,,,,,,,,,,,,,,,,
MacRumours.com,,,10,860000,web,hacked,,860000,1,,,,,http://www.wired.co.uk/news/archive/2013-11/13/mac-rumours-forums-hacked,,,,,,,,,,,,,,,,,,,,
NASDAQ,Nasdaq OMX Group,"Nasdaq forum website hacked by hacking ring, email addresses and passwords compromised",10,unknown,financial,hacked,y,500000,1,,,,,http://www.reuters.com/article/2013/07/18/net-us-nasdaq-cybercrime-website-idUSBRE96H1F520130718,,,,,,,,,,,,,,,,,,,,
Neiman Marcus,US retailer,,10,"""unknown""",web,hacked,,4000000,20,,,,,http://krebsonsecurity.com/2014/01/hackers-steal-card-data-from-neiman-marcus/,,,,,,,,,,,,,,,,,,,,
SnapChat,,"31st Dec 2013. Hackers abused an exploit to syphon 4.7m user details, including phone numbers.  Check here to see if your account was compromised: http://lookup.gibsonsec.org/",10,4700000,"web, tech",hacked,,4700000,20,,,,,http://www.forbes.com/sites/andygreenberg/2012/01/15/zappos-says-hackers-accessed-24-million-customers-account-details/,,,,,,,,,,,,,,,,,,,,
Target,,Investigators believe the data was obtained via software installed on machines that customers use to swipe magnetic strips on their cards when paying for merchandise at Target stores. Originally 40m customers. Now 70m!,10,70000000,retail,hacked,y,70000000,200,,,,,"http://www.chicagotribune.com/news/sns-rt-us-target-breach-20131218,0,3434295.story",http://www.huffingtonpost.com/2013/12/19/target-hacked-customer-credit-card-data-accessed_n_4471672.html?utm_hp_ref=mostpopular,http://techcrunch.com/2014/01/10/targets-data-breach-gets-worse-70-million-customers-had-info-stolen-including-names-emails-and-phones/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Techcrunch+%28TechCrunch%29&utm_content=Netvibes,ITRC,,,,,,,,,,,,,,,,,
Neiman Marcus,US retailer,,10,unknown,web,hacked,,"4,000,000",20,,,,,http://krebsonsecurity.com/2014/01/hackers-steal-card-data-from-neiman-marcus/,,,,,,,,,,,,,,,,,,,,
AOL,,,10,2400000,web,hacked,,"24,000,000",1,,,,,http://blog.aol.com/2014/04/28/aol-security-update/,,,,,,,,,,,,,,,,,,,,
Ebay,,The company has said hackers attacked between late February and early March with login credentials obtained from “a small number” of employees. They then accessed a database containing all user records and copied “a large part” of those credentials.,10,145000000,web,hacked,y,"145,000,000",1,,,,,http://my.chicagotribune.com/#section/-1/article/p2p-80265168/,,,,,,,,,,,,,,,,,,,,
Apple,,"Developer portal hacked. ""Some"" information about 275,000 3rd-party developers potentially stolen.",9,"275,000",tech,hacked,,275000,1,,,,,http://www.guardian.co.uk/technology/2013/jul/22/apple-developer-site-hacked,,,,,,,,,,,,,,,,,,,,
Central Hudson Gas & Electric,,Customer banking information and other personal information may have been accessed during the hack.,9,"110,000",energy,hacked,,110000,3,,,,,http://www.privacyrights.org/data-breach,,,Privacy Rights,,,,,,,,,,,,,,,,,
"Crescent Health Inc., Walgreens",,"Names, Social Security numbers, health insurance identification numbers, health insurance information, dates of birth, diagnoses, other medical information, disability codes, addresses, and phone numbers may have been exposed via a laptop theft.",9,"100,000",healthcare,lost / stolen computer,,100000,4,,,,,http://www.privacyrights.org/data-breach,,,Privacy Rights,,,,,,,,,,,,,,,,,
Drupal,open-source content management platform,"Malicious files placed on association.drupal.org servers via a 3rd-party application. Exposed usernames, e-mail addresses, country information, and cryptographically hashed passwords.",9,"1,000,000",web,hacked,,1000000,1,,,,,http://arstechnica.com/security/2013/05/drupal-org-resets-login-credentials-after-hack-exposes-password-data/,,,Ars Technica,,,,,,,,,,,,,,,,,
Evernote,online note-taking site,"Evernote asked its 50 million users to reset their passwords following an attempt to hack the note-taking network. The company said it’d found no evidence that any payment information for Evernote Premium or Evernote Business customers had been accessed, nor was there any indication that content stored by users had been accessed, changed or lost.",9,"50,000,000",web,hacked,,50000000,1,,,,,http://www.wired.co.uk/news/archive/2013-03/04/evernote-hacked,http://www.digitaltrends.com/mobile/evernote-hack-50-million-users-forced-to-reset-passwords/,,Wired; Digital Trends,,,,,,,,,,,,,,,,,
Facebook,,"Using the network's ""Download Your Information"" tool, some Facebook members were inadvertently sent the phone numbers or email address of Facebook friends that were otherwise private. Facebook assured users that the bug was fixed within a day, and that there is no evidence that the information was used maliciously.",9,"6,000,000",web,accidentally published,,6000000,1,,,,,https://www.facebook.com/notes/facebook-security/important-message-from-facebooks-white-hat-program/10151437074840766,,,,,,,,,,,,,,,,,,,,
Florida Courts,Florida Department of Juvenile Justice,,9,"100,000",government,lost / stolen computer,,100000,2,,,,,http://www.privacyrights.org/data-breach,,,Privacy Rights,,,,,,,,,,,,,,,,,
Living Social,special offers website,"Online criminals gained access to user names, e-mail addresses, dates of birth & encrypted passwords for 50 million people. Databases storing financial information were not compromised in the attack, the company said.",9,"50,000,000",web,hacked,,50000000,4,,,,,http://nakedsecurity.sophos.com/2013/04/27/livingsocial-hacked-50-million-affected/,http://bits.blogs.nytimes.com/2013/04/26/living-social-hack-exposes-data-for-50-million-customers/,,Naked Security; New York Times,,,,,,,,,,,,,,,,,
Nintendo,Japan's Club Nintendo service,"Japan's Club Nintendo service was hacked following thousands of unauthorized accesses. Customer information compromised in the attack includes full names, phone numbers, home and email addresses.",9,"240,000",gaming,hacked,,239326,2,,,,,http://www.joystiq.com/2013/07/05/club-nintendo-japan-hacked/,,,,,,,,,,,,,,,,,,,,
Scribd,"""world's largest online library"" ",Hack resulted in a few hundred thousand stolen passwords.,9,"500,000",web,hacked,,500000,1,,,,,http://nakedsecurity.sophos.com/2013/04/05/scribd-worlds-largest-online-library-admits-to-network-intrusion-password-breach/,http://www.nbcnews.com/technology/scribd-hack-exposes-thousands-users-1B9239618,,Naked Security; NBC News,,,,,,,,,,,,,,,,,
South Africa police,South Africa Police Service's anonymous whistleblowing website,"Hacker collective 'Anonymous' hacked an anonymous whistleblowing website run by the South Africa Police Service (SAPS), revealing the identities of thousands of its users. The hack was in response to the massacre of 34 protesting miners at Marikana in August 2012.",9,"16,000",government,hacked ,y,16000,2,,,,,http://www.wired.co.uk/news/archive/2013-05/22/south-africa-whistleblower-leak,,,Wired,,,,,,,,,,,,,,,,,
TerraCom & YourTel,,"The telecom firms TerraCom and YourTel have branded reporters for Scripps News as ""hackers"" after journalists discovered that the personal data of over 170,000 customers - including social security numbers and other identifying data that could be used for identity theft - were sitting on a publicly accessible server.",9,"170,000",telecoms,accidentally published,y,170000,2,,,,,http://boingboing.net/2013/05/23/terracom-and-yourtel-threaten.html,http://www.wired.co.uk/news/archive/2013-05/23/reporter-google-breach-hacker,,Boing Boing; Wired,,,,,,,,,,,,,,,,,
Twitter,,"Hackers had access to limited user information -- usernames, email addresses, session tokens and encrypted/salted versions of passwords -- for approximately 250,000 users.",9,"250,000",web,hacked ,,250000,1,,,,,http://www.wired.co.uk/news/archive/2013-02/02/twitter-hacked,,,Wired,,,,,,,,,,,,,,,,,
UbiSoft,games company,,9,"""unknown""",gaming,hacked,,58000000,2,,,,,http://forums.ubi.com/forumdisplay.php/495-Security-update-regarding-your-Ubisoft-account-please-create-a-new-password,,,,,,,,,,,,,,,,,,,,
Ubuntu,"A popular alternative, open-source operating system","July 2013: the passwords were cryptographically scrambled using the MD5 hashing algorithm - considered an inadequate means of protecting stored passwords, by security experts.",9,"2,000,000",tech,hacked,y,2000000,3,,,,,http://arstechnica.com/security/2013/07/hack-exposes-e-mail-addresses-password-data-for-2-million-ubuntu-forum-users/,,,Data Loss Database,,,,,,,,,,,,,,,,,
Washington State court system,Administrative offices,"Up to 160,000 Social Security numbers and a million driver's license numbers may have been accessed by hackers exploiting old versions of Adobe Cold Fusion software on the server. ",9,"160,000",government,hacked,,160000,2,,,,,http://www.reuters.com/article/2013/05/09/us-usa-hack-washingtonstate-idUSBRE9480YY20130509,http://www.privacyrights.org/data-breach,,Reuters; Privacy Rights,,,,,,,,,,,,,,,,,
Yahoo Japan,,22 million Yahoo user IDs may have been leaked after Yahoo detected an unauthorized attempt to access the administrative system of its web portal Yahoo Japan. The leaked information did not include passwords and data necessary for identity verification to reset passwords.,9,"22,000,000","tech, web",hacked,,22000000,1,,,,,http://www.reuters.com/article/2013/05/17/us-yahoojapan-idUSBRE94G0P620130517,,,Reuters,,,,,,,,,,,,,,,,,
Apple,,"Hacking group AntiSec claimed they hacked an FBI laptop in March 2012 accessing a file of more than 12 million Apple Unique Device Identifiers (UDIDs). Subsequently, it was discovered that app developer BlueToad was the source of the breach. The list contained personal information such as full names, phone numbers and addresses. AntiSec published a million of these UDIDs online.",8,"12,367,232 ","tech, retail",accidentally published,y,12367232,2,,,,,http://news.cnet.com/8301-1009_3-57505330-83/antisec-claims-to-have-snatched-12m-apple-device-ids-from-fbi/,http://news.cnet.com/8301-1009_3-57509595-83/udid-leak-source-idd-bluetoad-mobile-firm-says-it-was-hacked/,,,,,,,,,,,,,,,,,,,
Blizzard,"Activision, Battle.net","Scrambled passwords, e-mail addresses, and personal security answers were knowingly stolen from Blizzard's internal network. Blizzard would not elaborate on the size of the hack (""millions""). ",8,"14,000,000",gaming,hacked,,14000000,2,,,,,https://us.battle.net/support/en/article/important-security-update-faq#5,,,,http://thehightechsociety.com/blizzard-battle-net-hack/,,,,,,,,,,,,,,,,
California Department of Child Support Services,,California child support records were lost in transit during a disaster preparedness exercise.,8,"800,000",government,lost / stolen media ,,800000,2,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,http://articles.businessinsider.com/2012-04-03/news/31279254_1_major-data-breach-identity-theft-office-of-privacy-protection,,ITRC,,,,,,,,,,,,,,,,,
Emory Healthcare,hospital system in Atlanta,,8,"315,000",healthcare,unknown,,315000,4,,,,,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,,
Formspring, Interest-based social Q&A website,"Formspring was tipped off to a breach after 420,000 hashed passwords were posted to a security forum. ",8,"420,000",web,accidentally published,y,420000,4,,,,,http://news.cnet.com/8301-1009_3-57469944-83/formspring-disables-user-passwords-in-security-breach/?tag=mncol;txt,,,,,,,,,,,,,,,,,,,,
Global Payments,"Credit, debit and check processing for merchants (Visa, Mastercard, etc)",1.5 million credit card numbers from its systems may have been exposed after detecting “unauthorized access” into its processing system. ,8,"1,500,000",financial,hacked,,1500000,3,,,,,http://www.washingtonpost.com/business/technology/faq-the-global-payments-hack/2012/04/02/gIQAIHLLrS_story.html,,,ITRC,http://money.cnn.com/2012/03/30/technology/credit-card-data-breach/index.htm,,,,,,,,,,,,,,,,
KT Corp.,Korean mobile carrier,"Two suspects reportedly earnt an estimated $877,000 by selling the contact information and plan details of 8.7 million KT subscribers, almost half of the carrier's total customers.",8,"8,700,000",telecoms,hacked,,8700000,2,,,,,http://www.koreatimes.co.kr/www/news/biz/2012/07/113_116143.html,http://news.cnet.com/8301-1009_3-57482215-83/hackers-accused-of-stealing-data-from-9m-korean-mobile-users/,,,,,,,,,,,,,,,,,,,
"LinkedIn, eHarmony, Last.fm",,Hacker 'dwdm' uploaded a file containing 6.5 million passwords on a Russian hacker forum. Soon after another 1.5 million passwords were discovered. ,8,"8,000,000",web,accidentally published,,8000000,4,,,,,http://news.cnet.com/8301-1009_3-57449325-83/what-the-password-leaks-mean-to-you-faq/?tag=mncol;txt,http://arstechnica.com/security/2012/06/8-million-leaked-passwords-connected-to-linkedin/,,,,,,,,,,,,,,,,,,,
Medicaid,US health program for low income people and families,"The Utah Department of Technology Services had recently moved their claims records to a new server, and hackers believed to be operating out of Eastern Europe were able to circumvent the server’s multi-layered security system containing Social Security numbers for the Medicaid claims.",8,"780,000","government, healthcare",hacked,y,780000,2,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Militarysingles.com,"Online dating network for, you guessed it, military singles","Collective group LulzSec released a database of 163,792 names, usernames, e-mail addresses, IP addresses, and passwords of ""single"" military personnel.",8,"163,792","web, military",accidentally published,,163792,4,,,,,http://www.pcworld.com/article/252647/reborn_lulzsec_claims_hack_of_dating_site_for_military_personnel.html,,,PC World,,,,,,,,,,,,,,,,,
New York State Electric & Gas,,An employee from a software consulting firm was allowed unauthorized access to the company’s databases.,8,"1,800,000",energy,inside job,,1800000,2,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
South Carolina Government,South Carolina Department of Health and Human Services,"A man was charged with five counts of violating medical confidentiality laws and one count of disclosure of confidential information after he gained access to personal information for more than 228,000 Medicaid beneficiaries.",8,"228,435",healthcare,inside job,,"228,435",4,,,,,http://www.thestate.com/2012/04/20/2241321/personal-information-of-more-than.html#.UFpUVqRYtmg,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Three Iranian banks,"Saderat, Eghtesad Novin, & Saman","After finding a security vulnerability in Iran's banking system, software manager Khosrow Zarefarid
 wrote a formal report and sent it to the CEOs of all the affected banks across the country. When the banks ignored his findings, he hacked 3 million bank accounts, belonging to at least 22 different banks, to prove his point.",8,"3,000,000",financial,hacked,y,3000000,5,,,,,http://www.zdnet.com/blog/security/3-million-bank-accounts-hacked-in-iran/11577,,,ZD Net,,,,,,,,,,,,,,,,,
Yahoo,,"Yahoo Voices service was hacked, exposing more than 450,000 usernames and passwords.",8,"450,000","tech, web",hacked,,450000,1,,,,,http://it.slashdot.org/story/12/07/12/1243217/nearly-half-a-million-yahoo-passwords-leaked-updated?utm_source=feedburnerGoogle+Reader&utm_medium=feed&utm_campaign=Feed%3A+Slashdot%2Fslashdot+%28Slashdot%29&utm_content=Google+Reader,http://www.pbs.org/newshour/rundown/2012/07/check-whether-your-yahoo-password-was-hacked.html,,Slashdot,,,,,,,,,,,,,,,,,
Accendo Insurance Co. ,,"Mismailed letters which allowed some lines of sensitive information (medication name, date of birth, and member ID) to be visible through the envelope window. The mailings were addressed correctly and, to the knowledge of the company, were received by the intended recipients.",7,"175,350",healthcare,poor security,,175350,4,,,,,http://www.databreaches.net/?p=19198,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Bethesda Game Studios,"US video game company (Elder Scrolls, Fallout 3)","Hacking collective Lulzsec stole account information of 200,000 user.",7,"200,000",gaming,hacked,,200000,1,,,,,http://www.pcworld.com/article/231215/lulzsec_a_short_history_of_hacking.html,,,PC World,,,,,,,,,,,,,,,,,
Citigroup,,"Less than 1% of Citbank card holders' names, account numbers, and contact information such as e-mail addresses were stolen. Card security codes were not stolen. ",7,"360,083",financial,hacked,,360083,3,,,,,http://www.pcworld.com/article/229891/Citigroup_Hack_Nets_Over_200k_in_Stolen_Customer_Details.html,,,PC World,,,,,,,,,,,,,,,,,
Eisenhower Medical Center,California hospital,"Stolen computer contained data listing patients' names, ages, dates of birth, medical record numbers and the last four digits of their social security numbers.",7,"514,330",healthcare,lost / stolen computer,,514330,4,,,,,http://databreachinvestigation.blogspot.com/2011/04/thief-gets-away-with-eisenhower-medical.html,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
